Text,Class,PureText,ConEmoji,Emojis,Con_emoji_meanings
 ජා පෙරමුණේ පරාජය ජා පෙරමුණට දෙමළ ජාතික සංධානයට ඔවුන්ගේ අතවැසි ජ වි පෙරමුණට ඉතිරි ව ඇත්තේ බටහිරයන්ගේ පිහිට පමණයි අද ඔවුන් ගඩාෆිට වුණු දේ කතා කරන්නෙ වෙනත් ක්‍රමයක් නැති නිසයි අනුර කුමාර     ,Political, එ ජා පෙරමුණේ පරාජය එ ජා පෙරමුණට දෙමළ ජාතික සංධානයට හා ඔවුන්ගේ අතවැසි ජ වි පෙරමුණට දැන් ඉතිරි ව ඇත්තේ බටහිරයන්ගේ පිහිට පමණයි අද ඔවුන් ගඩාෆිට වුණු දේ ගැන කතා කරන්නෙ වෙනත් ක්‍රමයක් නැති නිසයි අනුර කුමාර     ,,,
 පරම්පරා දෙක තුනක් යද්දි සිංහලයගෙ සිංහල පෙනුම චීනගෙ අර චෑන් චූන් පෙනුම එක්ක දෙමුහුන් වෙනවා බොරුනම් බලපල්ලා පරම්පරා දෙකක් රටේ ජීවත්වෙලා උන්ගෙ කොලනියක් වෙලා ඉවරයි දැනටම මේක 😑  මේවාසිරාසිද්ධි ,Neutral, තව පරම්පරා දෙක තුනක් යද්දි සිංහලයගෙ සිංහල පෙනුම චීනගෙ අර චෑන් චූන් පෙනුම එක්ක දෙමුහුන් වෙනවා බොරුනම් බලපල්ලා තව පරම්පරා දෙකක් මේ රටේ ජීවත්වෙලා උන්ගෙ කොලනියක් වෙලා ඉවරයි දැනටම මේක   මේවාසිරාසිද්ධි ,😑,😑,expressionless face
 ජනාධිපති ඉරනමඩු වැවේ පැරණි ඵලකයක් කඩා බිඳ දැම්මා කියන කතාවේ ඇත්ත නැත්ත ඉරනමඩු වැව ඩඩ්ලි මෛත්‍රී        ,Political, ජනාධිපති ඉරනමඩු වැවේ පැරණි ඵලකයක් කඩා බිඳ දැම්මා ය කියන කතාවේ ඇත්ත නැත්ත ඉරනමඩු වැව ඩඩ්ලි සහ මෛත්‍රී        ,,,
 හැමදාම කට කැඩෙනකම් උගුර ලේ රහ වෙනකම් ඇස්වල කඳුලු එනකම් කෑගහලා ඉස්සරහටම පලයන් පස්සටනම් අඩියක්වත් තියන්නෙපා මොනා උනත් කියලා දිරි දුන්නෙ ලේ කිරි කරලා පොවපු අම්මයි යකඩ පාගලා රට වටේ කරක් ගහලා ගෙදර අඩුපාඩු පුරවපු තාත්තයි ඉරිච්ච ඩෙනිමයි කාකි සර්ට් එකයි ඇදගෙන ඉදපු කොන්දොස්තරයයි විතරයි ,Neutral, හැමදාම කට කැඩෙනකම් උගුර ලේ රහ වෙනකම් ඇස්වල කඳුලු එනකම් කෑගහලා ඉස්සරහටම පලයන් පස්සටනම් අඩියක්වත් තියන්නෙපා මොනා උනත් කියලා දිරි දුන්නෙ ලේ කිරි කරලා පොවපු අම්මයි යකඩ පාගලා රට වටේ කරක් ගහලා ගෙදර අඩුපාඩු පුරවපු තාත්තයි ඉරිච්ච ඩෙනිමයි කාකි සර්ට් එකයි ඇදගෙන ඉදපු කොන්දොස්තරයයි විතරයි ,,,
 උදාරයාගේ සාහිත්‍යිකභාවයට විවරණ දුන්නේ සිංහල සාහිත්‍යය සමාජ අධ්‍යයනය ගුරු මෑණිවරුය පීඩාවට පත්වූවෝ ගිණුම් අංශයට මා බඳවාගත් ආයතන පරිපාලකයෝය  😊,Neutral, උදාරයාගේ සාහිත්‍යිකභාවයට විවරණ දුන්නේ සිංහල සාහිත්‍යය හා සමාජ අධ්‍යයනය ගුරු මෑණිවරුය පීඩාවට පත්වූවෝ ගිණුම් අංශයට මා බඳවාගත් ආයතන පරිපාලකයෝය  ,😊,😊,smiling face smiling eyes
   ඒක නවත්තන්න බෑ  😂  බඩ පිම්බෙනවා ගෑස් එකට තමයි කීවේ දැම්ම බෙහෙත් ගන්න කියලා සිංහල බෙහෙත් වලට නං නොවී තියාගන්න පුළුවන් හොඳ වුණ කෙනෙක් නං හම්බෙලා ,Neutral,   ඒක නවත්තන්න බෑ    බඩ පිම්බෙනවා ගෑස් එකට ඒ නිසා තමයි කීවේ දැම්ම බෙහෙත් ගන්න කියලා සිංහල බෙහෙත් වලට නං වැඩි නොවී තියාගන්න පුළුවන් ක් හොඳ වුණ කෙනෙක් නං හම්බෙලා නෑ ,😂,😂,face tears joy
 පුදුම වෙන්නෙපා වෙළෙඳාමේ ආපු මුස්ලිම් උන් එක්ක පවුල් කාලා මෙහෙ පදිංචි කර ගත්ත සිංහල කාන්තාවන්ටසමහර චීන්නු කියන්නෙත් වෙනසක් අපේ මිනිස්සුන්ගේ වැරදි  😢,Racist, පුදුම වෙන්නෙපා වෙළෙඳාමේ ආපු මුස්ලිම් උන් එක්ක පවුල් කාලා මෙහෙ පදිංචි කර ගත්ත සිංහල කාන්තාවන්ටසමහර චීන්නු කියන්නෙත් වැඩි වෙනසක් නෑ අපේ ම මිනිස්සුන්ගේ වැරදි  ,😢,😢,crying face
 රනිල් වික්‍රමසිංහ මහතාට විශ්වාසය පල කිරිමේ යෝජනාව සම්මතයි     ,Political, රනිල් වික්‍රමසිංහ මහතාට විශ්වාසය පල කිරිමේ යෝජනාව සම්මතයි     ,,,
   ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස     ,Political,   ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස     ,,,
 ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස     ,Political, ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස     ,,,
 රනිල්ට සහාය පල කිරිමේ යෝජනාව ජවිපෙට අදාළ     ,Political, රනිල්ට සහාය පල කිරිමේ යෝජනාව ජවිපෙට අදාළ නෑ     ,,,
 බිලක් දෙන්න බැරි කස්ටෙක්ගෙන් තේ සංග්‍රහයක්     ,Neutral, බිලක් දෙන්න බැරි කස්ටෙක්ගෙන් තේ සංග්‍රහයක්     ,,,
 ඉල්ලන දෙයක් දෙන්නම් මට සහය දෙන්න  හමුවේ සිරිසේන ඉල්ලලා     ,Neutral, ඉල්ලන දෙයක් දෙන්නම් මට සහය දෙන්න  හමුවේ සිරිසේන ඉල්ලලා     ,,,
 රනිල්ට සහාය දෙන්න එපා  මෛත්‍රී දෙමළ ජාතික සන්ධානයෙන් ඉල්ලයි     රනිල්ටසහායදෙන්නඑපාමෛත ,Political, රනිල්ට සහාය දෙන්න එපා  මෛත්‍රී දෙමළ ජාතික සන්ධානයෙන් ඉල්ලයි     රනිල්ටසහායදෙන්නඑපාමෛත ,,,
  මොකක් හරි නාට්‍යයක් තියෙන්නත් එපැයි මේකෙ ඉන්න උන්දැලාට දවසසතිය ගෙවාගන්න  😂,Neutral,  මොකක් හරි නාට්‍යයක් තියෙන්නත් එපැයි ඉතින් මේකෙ ඉන්න උන්දැලාට දවසසතිය ගෙවාගන්න  ,😂,😂,face tears joy
   ඕක තියන් ඉන්න හොද කෙනෙක්ට දෙන්න හදන්න මම දන්න කෙනෙකුත් ඉන්නා අහල බලමු ,Neutral,   ඕක තියන් ඉන්න හොද කෙනෙක්ට දෙන්න හදන්න මම දන්න කෙනෙකුත් ඉන්නා අහල බලමු ,,,
 පාර්ලිමේන්තුව රැස් වේ පොදු පෙරමුණු මන්ත්‍රීන් දිනටත් වර්ජනයේ රනිල්ට විශ්වාසය පල කිරීමේ යෝජනාවක් අද දින යෝජනාවට ජන්දයට ,Political, පාර්ලිමේන්තුව රැස් වේ පොදු පෙරමුණු මන්ත්‍රීන් වන දිනටත් වර්ජනයේ රනිල්ට විශ්වාසය පල කිරීමේ යෝජනාවක් අද දින යෝජනාවට හා ජන්දයට ,,,
    මගේනම්මගේ කාටවත් දෙන්න එපා නත්තල් සීයේ  😂,Neutral,    මගේනම්මගේ වෙන කාටවත් දෙන්න එපා නත්තල් සීයේ  ,😂,😂,face tears joy
    ආපෝ ඒමදඔය දෙන්න වෙනම යන්න එනම් 😬,Neutral,    ආපෝ ඒමදඔය දෙන්න වෙනම යන්න එනම් ,😬,😬,grimacing face
 කොච්චර මැරෙන්න හැදුවත් පවට පින දෙන්න බෑ බං  🙏,Neutral, කොච්චර මැරෙන්න හැදුවත් පවට පින දෙන්න බෑ බං  ,,🙏,
 රනිල්ට සහාය දෙන්න එපා  මෛත්‍රී දෙමළ ජාතික සන්ධානයෙන් ඉල්ලයි     රනිල්ටසහායදෙන්නඑපාමෛත ,Political, රනිල්ට සහාය දෙන්න එපා  මෛත්‍රී දෙමළ ජාතික සන්ධානයෙන් ඉල්ලයි     රනිල්ටසහායදෙන්නඑපාමෛත ,,,
  ණයට දෙන්න බෑ මේක  😍,Neutral,  ණයට දෙන්න බෑ මේක  ,😍,😍,smiling face hearteyes
   බ්‍රහස්පතින්දා හවස මම එනවා සිරස දවස දේශපාලන සංවාදයට … ,Neutral,   බ්‍රහස්පතින්දා හවස ට මම එනවා සිරස දවස දේශපාලන සංවාදයට … ,,,
   බයියෝ හොඳ නීතිඥ උපදෙස් ලබා ගන්න ඕනේ රනිල්ට ජයග්‍රණයක් දෙන්න රටට ආතල් දෙන්න පළවෙනි දවසෙම විසිවෙන නඩුවක් දාලා … ,Neutral,   බයියෝ හොඳ නීතිඥ උපදෙස් ලබා ගන්න ඕනේ රනිල්ට තවත් ජයග්‍රණයක් දෙන්න සහ රටට ආතල් දෙන්න පළවෙනි දවසෙම විසිවෙන නඩුවක් දාලා … ,,,
 පාලක පන්තියෙන් විප්ලවවාදින් පිළිබද නොඅසන්න සාධාරණ විනිශ්චයක් ඔවුන් ලබා දෙන්න  ️,Political, පාලක පන්තියෙන් විප්ලවවාදින් පිළිබද නොඅසන්න සාධාරණ විනිශ්චයක් ඔවුන් වෙත ලබා දෙන්න  ️,,,
  පට්ට වේසි පොලිසියෙන් ඉල්ලං කාපන් ,Sexism,  පට්ට වේසි දැන් පොලිසියෙන් ඉල්ලං කාපන් ,,,
 මගේ ලමැද සුව යහනක් ඔබට තනා දෙන්න කියා බවේ පෙරුම් පුරා බලා ඉන්නවා ,Neutral, මගේ ලමැද සුව යහනක් ඔබට තනා දෙන්න කියා බවෙන් බවේ පෙරුම් පුරා බලා ඉන්නවා ,,,
 ෆෙඩරල් දෙන්න රනිල් එකග වෙයි – ලිඛිත ගිවිසුම හෙට අත්සන් තබයි      ,Political, ෆෙඩරල් දෙන්න රනිල් එකග වෙයි – ලිඛිත ගිවිසුම සමග හෙට අත්සන් තබයි      ,,,
   දෙන්න අයියයි නංගියි  😂 🤪 ,Neutral,   නෑ එ දෙන්න අයියයි නංගියි    ,😂,😂 🤪,face tears joy
   කියලා ඉවරකරන්න බැරි මාතෘකාවක් තියනවා සමහරුන්ට ඇහෙනකොට කිචි වගේ වෙයි සමහරු ඊයා මොනාද කියන්නෙ කියල අහයි ප්‍රසිද්ධියේ… ,Neutral,   කියලා ඉවරකරන්න බැරි මාතෘකාවක් තියනවා සමහරුන්ට ඇහෙනකොට කිචි වගේ වෙයි සමහරු ඊයා මේ මොනාද කියන්නෙ කියල අහයි නමුත් ප්‍රසිද්ධියේ… ,,,
   ඉපදීම හිස් කරත්තයකි කාගේ කාගෙත් බෙල්ලේ එල්ලු අද දවස යනු මතක ගොඩකි කරත්තය පිරවු බර අදින අපි ඇදගෙන යන්නේ ඉසව්වක… ,Neutral,   ඉපදීම හිස් කරත්තයකි කාගේ කාගෙත් බෙල්ලේ එල්ලු අද දවස යනු මතක ගොඩකි ඒ කරත්තය පිරවු ඒ බර අදින අපි මේ ඇදගෙන යන්නේ ඉසව්වක… ,,,
 ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස     ,Political, ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය ලෝන්ලි ප්ලැනට් පළමු තැන ගත් ශ්‍රී ලංකාවේ සංචාරක කර්මාන්තයේ හෙට දවස     ,,,
      අවුරුදු හයකට කලින් අද දවස ,Neutral,      අවුරුදු හයකට කලින් අද දවස ,,,
 අවුරුදු හයකට කලින් අද දවස ,Neutral, අවුරුදු හයකට කලින් අද දවස ,,,
 අද හොඳම දවස ඔබ එනවානම් ලිප්ටන් වටරවුමට  සටන් පෙරමුණට ,Neutral, අද හොඳම දවස ඔබ එනවානම් ලිප්ටන් වටරවුමට  ට සටන් පෙරමුණට ,,,
    පියමැන එන්න අම්මේ බත්ටික බෙදලා දෙන්න සංසාර සිහිනයේ මා නුඹේ පුත් කුමරා ,Neutral,    පියමැන එන්න අම්මේ බත්ටික බෙදලා දෙන්න සංසාර සිහිනයේ මා නුඹේ පුත් කුමරා ,,,
 දෙවෙනි සාර්ථක දවස ගමන්  🙊,Neutral, දෙවෙනි සාර්ථක දවස උදෙසා යන ගමන්  ,,🙊,
 සීක්‍රට් සැන්ටා එකට ලොකු තෑග්ගක් දෙන්න හොඳ  😑  අපිට පොඩි දෙයක් ලැබුනොත් අවුරුදු ගානක් දුක්වෙන්න වෙයි  😂,Neutral, සීක්‍රට් සැන්ටා එකට ලොකු තෑග්ගක් දෙන්න හොඳ නෑ    අපිට පොඩි දෙයක් ලැබුනොත් අවුරුදු ගානක් දුක්වෙන්න වෙයි  ,😑 😂,😑 😂,expressionless face face tears joy
  ම්ම්ම් හිතන කෙනාද කියල බලමු ඉඟියක් දෙන්න 🤗 ,Neutral,  ම්ම්ම් හිතන කෙනාද කියල බලමු ඉඟියක් දෙන්න  ,,🤗,
 ලාල් කාන්ත උනත් ඇත්තට මූණ දෙන්න ඕන  😅,Neutral, ලාල් කාන්ත උනත් ඇත්තට මූණ දෙන්න ඕන  ,😅,😅,grinning face sweat
  ඔයා අාවොත් ඔයාට කැබිනට් පොසිෂන් එකක් දෙන්න පුලුවන් වෙයි ,Political,  ඔයා දැන් අාවොත් ඔයාට කැබිනට් පොසිෂන් එකක් දෙන්න පුලුවන් වෙයි ,,,
  දෙන්න ,Neutral,  දෙන්න ,,,
   රට  ජාතිය ආගම සිතන්න අතීතයේ රැකගත් මාතෘභූමිය බෙදා වෙන් කිරීමට ඉඩ දෙන්න එපා     ,Neutral,   රට  ජාතිය ආගම ගැන සිතන්න අතීතයේ සිට රැකගත් මාතෘභූමිය බෙදා වෙන් කිරීමට ඉඩ දෙන්න එපා     ,,,
   පල පල ,Neutral,   පල පල ,,,
 ගෙවුණු දවස උණුසුම් කළ පුවත්…     ,Neutral, ගෙවුණු දවස උණුසුම් කළ පුවත්…     ,,,
 අද හත්වෙනි දවස ජනාධිපති තුමා       ,Political, අද ඉතින් හත්වෙනි දවස ජනාධිපති තුමා       ,,,
  සී වේසි කියන්නේ මුහුදු හුකන්නිටනෙ ,Sexism,  සී වේසි කියන්නේ මුහුදු හුකන්නිටනෙ ,,,
  දෙසැම්බර් මස බදාදා  අද දවස ඔබට කොහොමද ,Neutral,  දෙසැම්බර් මස වන බදාදා  අද දවස ඔබට කොහොමද ,,,
  මට කේක් දෙන්න ,Neutral,  මට කේක් දෙන්න ,,,
  ඩෙමා නංගිගෙ පස්ස හදල දෙන්න ,Sexism,  ඩෙමා මේ නංගිගෙ පස්ස හදල දෙන්න ,,,
   ඒකනේවැදගත් විදිහට කඹයක් හොයල දෙන්න  🏽,Neutral,   ඒකනේවැදගත් විදිහට කඹයක් හොයල දෙන්න  ,,🏽,
  මට දෙන්න ,Neutral,  මට දෙන්න ,,,
  එහෙම සමාව දෙන්න බෑ ,Neutral,  එහෙම සමාව දෙන්න බෑ ,,,
   අමතක දවස  වොෂෲම් එකෙ දොර හොයාගන්න බැරිව වටේ කැරකුන හැටි  😂,Neutral,   අමතක නෑ ඒ දවස  වොෂෲම් එකෙ දොර හොයාගන්න බැරිව වටේ කැරකුන හැටි  ,😂,😂,face tears joy
 මගෙ රත්තරන් යාලුවෝ ටික අත උස්සලා හූවක් දෙන්න ,Neutral, මගෙ රත්තරන් යාලුවෝ ටික අත උස්සලා හූවක් දෙන්න ,,,
   බ්ලඩ් දෙන්න කැමති හදිස්සියක්  😟,Neutral,   බ්ලඩ් දෙන්න කැමති ද හදිස්සියක්  ,,😟,
    ඔයා කරලා දෙන්න බංගිට🤔 😂  මං එකෙක් හොයාගන්නවස් ,Neutral,    ඔයා කරලා දෙන්න බංගිට   මං වෙන එකෙක් හොයාගන්නවස් ,😂,🤔 😂,face tears joy
  පල පල  කෙළ හලන්න ගත්තා මෙතන ,Neutral,  පල පල  කෙළ හලන්න ගත්තා මෙතන ,,,
   ජවිපෙ විත්තිඅනුරට උත්තර දෙන්න වෙලාවක් නැතිලු     ,Neutral,   ජවිපෙ විත්තිඅනුරට උත්තර දෙන්න වෙලාවක් නැතිලු     ,,,
  කියන බොරැවලට අපායෙ ඉස්සරාම සිට් ඵක සිරිසෙනට දෙන්න ඔන ,Neutral,  මේ කියන බොරැවලට අපායෙ ඉස්සරාම සිට් ඵක සිරිසෙනට දෙන්න ඔන ,,,
 පසුපසට විසිකිරීම  නැවේදි ගත්තෙ සෙට් එකම මාලිමාවට එකසැරේ උම්මා එකක් දෙන්න යද්දි පොටෝ එක ගත්තෙ  😘,Neutral, පසුපසට විසිකිරීම  නැවේදි ගත්තෙ සෙට් එකම මාලිමාවට එකසැරේ උම්මා එකක් දෙන්න යද්දි පොටෝ එක ගත්තෙ  ,😘,😘,face blowing kiss
   එන්න කිස් එකක් දෙන්න  😂,Neutral,   එන්න කිස් එකක් දෙන්න  ,😂,😂,face tears joy
  පයින් දෙන්න ඕනෙ  😂,Neutral,  පයින් දෙන්න ඕනෙ  ,😂,😂,face tears joy
 රනිල්ට අගමැති කම දෙන්න සිරසෙ අදරයයි ස්වප්නා ඉවර වෙන්න ඕනෙ කියලා සිරිසේන ලොක්කා කියන්නෙ ,Political, රනිල්ට අගමැති කම දෙන්න නම් සිරසෙ යන මේ අදරයයි සහ ස්වප්නා ඉවර වෙන්න ඕනෙ කියලා සිරිසේන ලොක්කා කියන්නෙ ,,,
 වරදවා වටහා ගන්න එපා මං බොන්නේ      ඒත් බොනවා දවසක නැති වෙන්නම   දවස ඈතක නෙමෙයි ,Neutral, වරදවා වටහා ගන්න එපා මං බොන්නේ නෑ      ඒත් බොනවා දවසක නැති වෙන්නම   ඒ දවස වැඩි ඈතක නෙමෙයි ,,,
  උබට මොනවටද අයියේ අක්කට ඕනෙනේ දෙන්න  😊,Neutral,  උබට මොනවටද අයියේ අක්කට ඕනෙනේ දෙන්න  ,😊,😊,smiling face smiling eyes
 රනිල් වික්‍රමසිංහ මහතා විශ්වාසය පල කිරීමේ යෝජනාව පැවති ඡන්දයෙන් පක්ෂව ඡන්ද හිමිවෙයි ජවිපෙ ඡන්දය දීමෙන් වළකියි     ,Political, රනිල් වික්‍රමසිංහ මහතා වෙත විශ්වාසය පල කිරීමේ යෝජනාව සඳහා පැවති ඡන්දයෙන් පක්ෂව ඡන්ද ක් හිමිවෙයි ජවිපෙ ඡන්දය දීමෙන් වළකියි     ,,,
        ඔව් නංගී එහෙම වෙනවාඒ එක විනාඩියක් ඇතුලත වගේ දෙන්න ඔනේ එහෙම නොවුනොත් අකවුන්ට් එකට ප්‍රශ්න වෙනවා ,Neutral,        ඔව් නංගී එහෙම වෙනවාඒ එක විනාඩියක් ඇතුලත වගේ දෙන්න ඔනේ එහෙම නොවුනොත් අකවුන්ට් එකට ප්‍රශ්න ඇති වෙනවා ,,,
   දන්න කෙනෙක්ක්ට මිසක් යන්තම් සන්තන් එවුන්ට දෙන්න එපා අත්දැකීමෙන් කියන්නෙකොරියන් එකක්නෙ මෙහෙ එවුන් කනව පුලුවන්නම් ඩිස්ප්ලේ එක ගෙන්න ගන්න බලන්න ,Neutral,   දන්න කෙනෙක්ක්ට මිසක් යන්තම් සන්තන් එවුන්ට දෙන්න එපා අත්දැකීමෙන් කියන්නෙකොරියන් එකක්නෙ මෙහෙ එවුන් කනව පුලුවන්නම් එහෙන් ඩිස්ප්ලේ එක ගෙන්න ගන්න බලන්න ,,,
 ගෙදර මිනිස්සු පාර එද්දි ගෙනාපු ටික දැකලා  ටික දැකලා ඇහුවා මේවා ගෙනාවෙ මේවා කන්න පුලුවන්ද අපරාදෙ සල්ලි අරක මේක අනිත් ඔක්කොම ඉවරයි  ටික විතරයි ඉතුරු ඒවා කන ගමන් කියනව මේවත් ලොකු අව්ලක් කියලා  😂,Neutral, ගෙදර මිනිස්සු මේ පාර එද්දි ගෙනාපු ටික දැකලා  ටික දැකලා ඇහුවා ඇයි මේවා ගෙනාවෙ මේවා කන්න පුලුවන්ද අපරාදෙ සල්ලි අරක මේක දැන් අනිත් ඔක්කොම ඉවරයි  ටික විතරයි ඉතුරු දැන් ඒවා කන ගමන් කියනව මේවත් ඉතින් ලොකු අව්ලක් නෑ කියලා  ,😂,😂,face tears joy
 හිත අස්සෙන් හීන මවාගෙන අහිමි වීමකට බයේ කකියන හදවත කකාර කකාර වේදනා දෙන යාලුකම කියන ලේබලේ ගහපු හිත් දෙකක දලුලන හිතකට හිතක් හොරෙන් ලුහු බදින දවසින් දවස නමක් හොයන නුපුරුදුම හීන කදු ගහන අහිමි කර ගන්නට බැරුව ලත     ,Neutral, හිත අස්සෙන් හීන මවාගෙන අහිමි වීමකට බයේ කකියන හදවත කකාර කකාර වේදනා දෙන යාලුකම කියන ලේබලේ ගහපු හිත් දෙකක දලුලන හිතකට හිතක් හොරෙන් ලුහු බදින දවසින් දවස නමක් හොයන නුපුරුදුම හීන කදු ගහන අහිමි කර ගන්නට බැරුව ලත වෙන     ,,,
 ඔට්ටුව මතක් ගානේ කොන්ඩේ පෙන්න පෙන්නා දානවා 😂  අපි බලමුකොඉස්සරහට කවුද දිනන්නේ කියලාටිපිටිප් එකක් අරන් දෙන්න වෙනවා ඕන්     ,Neutral, ඔට්ටුව මතක් වෙන ගානේ කොන්ඩේ පෙන්න පෙන්නා දානවා   අපි බලමුකොඉස්සරහට කවුද දිනන්නේ කියලාටිපිටිප් එකක් අරන් දෙන්න වෙනවා ඕන්     ,😂,😂,face tears joy
 ගමේ මේක තියෙනවා අරක තියෙනවා කියලා ආධාර ඉල්ලන් එපා යකෝ අපිත් බැංකුව ණය වෙලා අවේ එදා ගමේ අය යනකොට පරිස්සමට ගිහින් එන්නවත් කිව්වානම් කම්ක් බන් කතා නොකරපු අපිට කතා කරන්නත් එපා ඔයි  😆,Neutral, ගමේ මේක තියෙනවා අරක තියෙනවා කියලා ආධාර ඉල්ලන් එපා යකෝ අපිත් බැංකුව ට ණය වෙලා අවේ එදා ගමේ අය යනකොට පරිස්සමට ගිහින් එන්නවත් කිව්වානම් කම්ක් නෑ බන් කතා නොකරපු අපිට දැන් කතා කරන්නත් එපා ඔයි  ,😆,😆,grinning squinting face
 හැමදාම වගේ අපේ සහෝදර ලා පාරත් ලාංකීය ප්‍රේක්ෂකයට අලුත්ම අත්දැකීමක් ලබා දෙන්න පාරත් සූදානම් වෙනවා සුපුරුදු අපි ඔවුන්ට සුභ පතන ගමන් සීරීස් එක සම්බන්දයෙන් විස්තර අපි ලගදිම ඕගොල්ලන්ට ගෙන එන්න බලාපොරොත්තු     ,Neutral, හැමදාම වගේ අපේ සහෝදර ලා මේ පාරත් ශ්‍රී ලාංකීය ප්‍රේක්ෂකයට අලුත්ම අත්දැකීමක් ලබා දෙන්න ඔන්න මේ පාරත් සූදානම් වෙනවා ඉතින් සුපුරුදු පරිදි අපි ඔවුන්ට සුභ පතන ගමන් මේ සීරීස් එක සම්බන්දයෙන් වැඩි විස්තර අපි ලගදිම ඕගොල්ලන්ට ගෙන එන්න බලාපොරොත්තු     ,,,
  ඔව් උඹ අද ලංකාවේ මොකක් හරි සමාගමක් අරගෙන සතියක් යද්දි ජනාධිපති හරි එක හරි තොරතුරු ඔක්කොම ඉල්ලුවොත් දෙන්න වෙනවනේ ඇමරිකාවෙත් එහෙමයි තොරුතුරු නොදුන්නොත් ආයුධ පෙන්වන්න එක්කන් එක හැම රටකටම පොදු කාරණයක් ඒක ඇමරිකාවේ     වලංගුයි ,Neutral,  ඔව් උඹ අද ලංකාවේ මොකක් හරි සමාගමක් පටන් අරගෙන සතියක් යද්දි ජනාධිපති හරි එක හරි තොරතුරු ඔක්කොම ඉල්ලුවොත් දෙන්න වෙනවනේ ඇමරිකාවෙත් එහෙමයි තොරුතුරු නොදුන්නොත් ආයුධ පෙන්වන්න එක්කන් යන එක හැම රටකටම පොදු කාරණයක් ඒක ඇමරිකාවේ     වලංගුයි ,,,
        එහෙම ප්‍රශ්නයක් නැහැ නංගීමගේ අකවුන්ට් වලට මගේ එක්කෙනා ලොග් වෙනවාඅපි දෙන්නත් රටවල් දෙකකනේඑහෙම පුළුවන් ලොග් වෙන්නහැබැයි කෝඩ් එක නියමිත වෙලාවට දෙන්න ඔනේදෙන්න පරක්කු උනොත් සැක හිතලා පස්වෝඩ් චේන්ජ් කරන්න කියලා මේල් එකක් එනවා ,Neutral,        එහෙම ප්‍රශ්නයක් නැහැ නංගීමගේ අකවුන්ට් වලට මගේ එක්කෙනා ලොග් වෙනවාඅපි දෙන්නත් ඉතින් රටවල් දෙකකනේඑහෙම පුළුවන් ලොග් වෙන්නහැබැයි කෝඩ් එක නියමිත වෙලාවට දෙන්න ඔනේදෙන්න පරක්කු උනොත් සැක හිතලා පස්වෝඩ් චේන්ජ් කරන්න කියලා මේල් එකක් එනවා ,,,
   හොරෙන් තමා වැඩේ දෙන්න ඕනේ දඩයක් කන්න තමා වෙන්නේ ඔහේ නගින්න ගිහිල්ලා වනරක්ෂිතයකට අනවසරයෙන් උනා කියලා ,Neutral,   හොරෙන් තමා ඉතින් වැඩේ දෙන්න ඕනේ දඩයක් කන්න තමා වෙන්නේ ඔහේ නගින්න ගිහිල්ලා වනරක්ෂිතයකට අනවසරයෙන් ඇතුළු උනා කියලා ,,,
 කාලේ නං ඕක කිසිසේත්ම ප්‍රායෝගික මොකද කිසිම හිරිහැරයක් නැතුව ගියත් පයින් යන්න වෙන්නේ අපේ අයියලා එයාට දෙන්න හදනවනේ 😂  ලස්සන කෙල්ලක් නං ලංගම බස් කාරයොත් බලෙන් නග්ගගෙන යන්නේ  😂,Neutral, දැන් කාලේ නං ඕක කිසිසේත්ම ප්‍රායෝගික නෑ මොකද කිසිම හිරිහැරයක් නැතුව ගියත් පයින් යන්න වෙන්නේ නෑ අපේ අයියලා එයාට දෙන්න හදනවනේ   ලස්සන කෙල්ලක් නං ලංගම බස් කාරයොත් බලෙන් නග්ගගෙන යන්නේ  ,😂 😂,😂 😂,face tears joy face tears joy
  පිස්සු නැතිව දාන්න ඔය වගේ සල්ලි පස්සෙ දුවන ගොබ්බ හුත්තියො මිනිස්සු දැනගන්නෝන ඔහොම ගෑණු පොල් පිත්තක් ගත්තත් කපාගන්න ඇහැකි වේස ගෑණු ,Sexism,  පිස්සු නැතිව දාන්න ඔය වගේ සල්ලි පස්සෙ දුවන ගොබ්බ හුත්තියො ගැන මිනිස්සු දැනගන්නෝන ඔහොම ගෑණු පොල් පිත්තක් ගත්තත් කපාගන්න ඇහැකි වේස ගෑණු ,,,
